estacao=TRMM.4762 (9005761)
municipio=Espigão D`Oeste (1100098)
latitude=-11,0
longitude=-61,0
altitude=204,0m 

* variaveis calculadas pelo sistema 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; precipitacao ; precipitacao Estimada ; estiagem* ; estiagemAgricola* ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; evapotranspiracaoPotencial ; radiacaoSolar ; velocidadeVento ; direcaoVento ; horarioVento ; pontoOrvalhoMinimo ; pontoOrvalhoMaximo ; pressaoAtmMinima ; pressaoAtmMaxima ; evapotranspiracaoReal* ; disponibilidadeAguaSolo*
12/10/2018;22,0;sim;28,0;sim;34,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
11/10/2018;23,0;sim;28,0;sim;33,0;sim;0,98;não;;;;não;;não;;;;;;;;;;;
10/10/2018;24,0;sim;29,0;sim;34,0;sim;11,08;não;;;;não;;não;;;;;;;;;;;
09/10/2018;23,0;sim;28,0;sim;33,0;sim;0,2;não;;;;não;;não;;;;;;;;;;;
08/10/2018;23,0;sim;29,5;sim;36,0;sim;2,88;não;;;;não;;não;;;;;;;;;;;
07/10/2018;24,0;sim;29,5;sim;35,0;sim;0,53;não;;;;não;;não;;;;;;;;;;;
06/10/2018;23,0;sim;29,0;sim;35,0;sim;0,38;não;;;;não;;não;;;;;;;;;;;
05/10/2018;22,0;sim;29,0;sim;36,0;sim;3,13;não;;;;não;;não;;;;;;;;;;;
04/10/2018;23,0;sim;29,5;sim;36,0;sim;0,05;não;;;;não;;não;;;;;;;;;;;
03/10/2018;23,0;sim;27,0;sim;31,0;sim;15,35;não;;;;não;;não;;;;;;;;;;;
02/10/2018;23,0;sim;28,0;sim;33,0;sim;15,25;não;;;;não;;não;;;;;;;;;;;
01/10/2018;23,0;sim;29,0;sim;35,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
30/09/2018;24,0;sim;30,0;sim;36,0;sim;0,58;não;;;;não;;não;;;;;;;;;;;
29/09/2018;23,0;sim;29,0;sim;35,0;sim;0,2;não;;;;não;;não;;;;;;;;;;;
28/09/2018;24,0;sim;29,0;sim;34,0;sim;18,7;não;;;;não;;não;;;;;;;;;;;
27/09/2018;24,0;sim;29,5;sim;35,0;sim;11,15;não;;;;não;;não;;;;;;;;;;;
